DIST_CUTOFF_NM,ARI_Score
1.0,0.0
1.5,0.0
2.0,0.0020237253291671194
2.5,0.0020237253291671194
3.0,0.004045641675807348
3.5,0.006065751464377059
4.0,0.02816841538494237
4.5,0.03615224678575975
5.0,0.061905071624322565
5.5,0.08541607286805168
6.0,0.10675131037651137
6.5,0.13170285184294359
7.0,0.13170285184294359
7.5,0.16954438548909212
8.0,0.18636125949698046
8.5,0.18636125949698046
9.0,0.17890315004570492
9.5,0.20120096594992457
10.0,0.20489504777980452
10.5,0.2251002189829234
11.0,0.25235013176893484
11.5,0.32510136258442746
12.0,0.32510136258442746
12.5,0.4305285650929323
13.0,0.37337807277026397
13.5,0.40383145120840697
14.0,0.40383145120840697
14.5,0.40383145120840697
15.0,0.40383145120840697
15.5,0.49256924491711573
16.0,0.5496352456513672
16.5,0.5496352456513672
17.0,0.5496352456513672
17.5,0.5117723770005927
18.0,0.5683000836890507
18.5,0.5683000836890507
19.0,0.5683000836890507
19.5,0.5683000836890507
20.0,0.5683000836890507
20.5,0.8487849801478702
21.0,0.8487849801478702
21.5,0.8487849801478702
22.0,0.8487849801478702
22.5,0.8487849801478702
23.0,0.8487849801478702
23.5,0.8487849801478702
24.0,0.8487849801478702
24.5,0.8487849801478702
25.0,0.8487849801478702
25.5,0.8487849801478702
26.0,0.8487849801478702
26.5,0.8487849801478702
27.0,0.8487849801478702
27.5,0.8487849801478702
28.0,0.8487849801478702
28.5,0.8487849801478702
29.0,0.8487849801478702
29.5,0.8487849801478702
30.0,0.9665076733100006
30.5,0.9665076733100006
31.0,0.9665076733100006
31.5,0.9665076733100006
32.0,0.9665076733100006
32.5,0.7585176905119381
33.0,0.7278541995530864
33.5,0.7278541995530864
34.0,0.7278541995530864
34.5,0.7278541995530864
35.0,0.7278541995530864
35.5,0.7278541995530864
36.0,0.7278541995530864
36.5,0.7278541995530864
37.0,0.7278541995530864
37.5,0.7278541995530864
38.0,0.7278541995530864
38.5,0.7278541995530864
39.0,0.7278541995530864
39.5,0.7278541995530864
40.0,0.7278541995530864
40.5,0.7278541995530864
41.0,0.7278541995530864
41.5,0.7278541995530864
42.0,0.7278541995530864
42.5,0.7278541995530864
43.0,0.7278541995530864
43.5,0.7278541995530864
44.0,0.7278541995530864
44.5,0.7278541995530864
45.0,0.7278541995530864
45.5,0.7278541995530864
46.0,0.7278541995530864
46.5,0.7278541995530864
47.0,0.7278541995530864
47.5,0.7278541995530864
48.0,0.7278541995530864
48.5,0.7278541995530864
49.0,0.7278541995530864
49.5,0.7278541995530864
50.0,0.7278541995530864
50.5,0.7278541995530864
51.0,0.7278541995530864
51.5,0.7278541995530864
52.0,0.7278541995530864
52.5,0.7278541995530864
53.0,0.7278541995530864
53.5,0.7278541995530864
54.0,0.7278541995530864
54.5,0.7278541995530864
55.0,0.7278541995530864
55.5,0.7278541995530864
56.0,0.7278541995530864
56.5,0.7278541995530864
57.0,0.7278541995530864
57.5,0.7278541995530864
58.0,0.7278541995530864
58.5,0.7278541995530864
59.0,0.7278541995530864
59.5,0.7278541995530864
60.0,0.7278541995530864
60.5,0.7278541995530864
61.0,0.7278541995530864
61.5,0.7278541995530864
62.0,0.7278541995530864
62.5,0.7278541995530864
63.0,0.7278541995530864
63.5,0.0
64.0,0.0
64.5,0.0
65.0,0.0
65.5,0.0
66.0,0.0
66.5,0.0
67.0,0.0
67.5,0.0
68.0,0.0
68.5,0.0
69.0,0.0
69.5,0.0
70.0,0.0
