rlnLC_ChainComponent,count
2,2
3,3
4,2
6,3
8,2
9,2
10,2
11,3
17,2
18,2
21,4
22,2
25,2
28,3
29,2
30,2
33,2
36,2
38,2
39,2
40,2
42,2
53,3
54,2
55,2
56,3
57,2
60,4
72,2
73,2
74,3
75,2
76,2
77,9
78,3
86,3
89,2
91,2
92,3
94,4
95,7
96,2
100,3
101,2
102,2
103,2
108,5
110,2
113,2
114,2
115,4
118,3
120,2
121,2
122,7
123,2
124,2
127,2
128,3
129,2
130,2
131,2
133,2
137,5
139,2
142,2
150,2
151,2
153,2
155,4
156,3
157,4
158,2
159,5
162,2
165,3
169,2
170,2
171,3
175,2
176,3
180,6
182,4
183,2
184,3
186,6
188,2
193,2
194,2
195,3
199,3
202,3
206,6
207,2
210,2
211,2
212,2
213,2
216,2
217,5
222,3
224,3
225,4
230,2
233,2
235,2
247,2
249,3
255,3
257,5
259,2
260,2
261,5
262,2
263,3
264,2
266,4
268,2
273,2
274,2
281,2
282,3
283,4
285,2
286,2
287,2
288,2
294,3
295,5
297,2
298,2
303,5
305,2
306,3
308,3
310,4
311,2
313,2
315,3
322,5
323,2
325,3
330,3
334,2
336,3
339,4
340,5
342,2
346,2
347,2
364,5
365,2
366,5
369,3
372,3
374,2
375,3
377,2
378,2
392,2
394,2
408,3
409,2
410,3
413,2
414,2
416,2
418,2
419,3
420,2
421,3
424,3
425,4
433,2
434,2
435,3
439,2
442,4
447,2
448,2
449,2
450,3
451,4
454,4
464,2
467,2
477,2
481,3
485,2
486,2
490,3
498,2
501,2
502,3
505,2
506,2
511,4
522,3
523,2
527,2
529,2
530,2
532,3
534,2
535,3
539,2
542,2
552,3
556,2
560,4
562,3
570,3
572,2
574,2
577,2
586,2
587,2
592,2
596,2
597,4
599,2
601,5
605,3
608,2
611,2
618,4
619,3
622,2
623,2
631,2
634,2
639,2
641,2
650,2
653,2
654,3
661,2
662,2
671,3
675,2
678,2
679,2
680,2
681,3
683,2
684,2
685,3
688,2
690,2
698,4
700,2
701,2
707,2
709,6
711,7
712,4
713,2
717,3
723,3
725,2
731,2
732,2
742,4
745,3
748,2
749,2
750,2
751,3
757,2
759,2
761,2
762,2
765,2
766,4
767,2
775,3
777,2
797,2
801,2
802,2
805,2
809,3
810,2
811,2
812,3
814,3
818,4
820,2
826,2
827,2
828,2
829,2
832,2
837,5
838,2
842,2
854,2
856,2
863,2
866,2
872,2
880,3
883,3
888,3
893,2
894,2
896,3
903,2
905,2
909,3
910,2
919,2
920,2
921,2
925,3
928,2
934,5
938,3
940,2
944,2
947,2
948,4
949,6
950,2
953,2
957,2
960,3
968,2
985,2
991,2
995,2
996,5
999,2
1000,2
1005,2
1007,2
1010,2
1012,5
1013,2
1016,2
1018,3
1019,3
1022,2
1028,2
1031,2
1034,2
1035,2
1037,2
1043,2
1049,3
1050,2
1061,3
1063,2
1064,2
1069,2
1081,2
1095,2
1106,4
1109,3
1112,2
1115,2
1116,2
1125,6
1126,2
1127,3
1129,2
1130,4
1136,2
1142,2
1145,2
1146,2
1147,2
1151,3
1154,3
1157,2
1161,2
1179,2
1191,3
1197,2
1198,3
1213,2
1218,2
1224,2
1228,2
1244,2
1245,7
1247,3
1249,4
1258,2
1259,2
1260,4
1262,2
1267,3
1268,2
1270,2
1271,2
1276,2
1277,2
1278,4
1282,2
1286,2
1288,2
1289,2
1290,2
1292,2
1296,2
1300,2
1302,3
1303,2
1306,4
1310,3
1318,2
1319,3
1333,3
1335,4
1337,5
1338,5
1339,5
1340,2
1341,2
1342,2
1343,3
1344,3
1345,2
1346,3
1350,2
1351,4
1353,4
1354,3
1366,3
1371,2
1373,2
1376,2
1379,2
1384,2
1386,5
1389,2
1391,2
1393,2
1400,3
1404,3
1406,3
1408,2
1410,4
1411,3
1416,2
1422,2
1423,3
1431,3
1432,2
1435,4
1436,2
1437,2
1439,2
1440,4
1443,2
1445,2
1446,5
1448,2
1450,3
1451,4
1453,3
1454,2
1458,2
1460,2
1461,2
1463,2
1465,2
1466,2
1468,4
1469,2
1474,2
1476,2
1481,4
1483,2
1485,3
1488,2
1489,4
1493,2
1505,2
1506,2
1507,4
1508,3
1512,3
1516,2
1521,2
1522,2
1523,4
1527,2
1529,2
1530,2
1531,5
1538,2
1545,3
1547,2
1564,2
1568,2
1571,2
1572,3
1575,2
1579,2
1582,5
1583,3
1584,2
1586,6
1591,2
1597,4
1598,3
1606,6
1608,3
1609,5
1612,3
1616,3
1617,2
1618,3
1622,2
1623,3
1624,5
1626,3
1627,5
1629,2
1630,2
1634,2
1638,3
1639,3
1644,6
1645,2
1646,2
1647,3
1648,3
1651,2
1654,2
1659,3
1660,3
1662,2
1663,3
1665,2
1668,2
1672,2
1674,2
1675,3
1679,2
1689,3
1694,3
1696,2
1697,3
1700,2
1703,3
1704,2
1705,3
1706,2
1713,2
1715,2
1719,2
1721,2
1722,4
1730,4
1731,3
1733,2
1739,2
1745,2
1746,5
1747,5
1749,2
1750,2
1755,3
1759,3
1763,5
1767,2
1770,3
1772,2
1776,2
1777,3
1778,2
1782,3
1786,2
1787,2
1788,3
1789,4
1792,2
1797,4
1798,2
1799,2
1800,4
1808,2
1811,3
1813,3
1818,3
1822,2
1829,2
1831,2
1834,2
1836,2
1838,2
1839,3
1842,2
1845,5
1847,3
1851,3
1852,2
1853,2
1854,5
1858,2
1860,2
1861,2
1863,2
1865,2
1868,2
1869,2
1874,2
1877,2
1882,2
1888,2
1891,2
1892,2
1902,2
1920,2
1923,2
1926,4
1930,2
1931,7
1932,2
1933,2
1954,3
1958,2
1959,2
1968,2
1973,5
1975,2
1980,4
1981,3
1982,2
1985,2
1986,3
1987,4
1988,3
1989,3
1999,2
2001,2
2003,3
2012,2
2016,2
2017,2
2020,2
2024,2
2029,2
2030,2
2031,4
2041,2
2045,2
2046,3
2048,2
2052,3
2058,2
2061,2
2062,2
2065,2
2067,4
2070,3
2081,2
2086,3
2091,2
2094,3
2099,3
2100,3
2103,2
2104,6
2110,2
2113,2
2116,3
2118,3
2122,3
2123,3
2125,2
2131,2
2133,3
2141,2
2144,2
2145,2
2146,3
2151,2
2154,2
2158,2
2159,3
2160,2
2175,2
2177,2
2181,4
2183,5
2184,2
2186,3
2187,4
2191,4
2196,3
2199,2
2201,2
2202,3
2210,2
2212,3
2215,3
2216,2
2222,7
2225,3
2227,2
2228,3
2230,5
2245,3
2246,2
2247,3
2248,2
2253,2
2256,2
2257,2
2262,2
2263,2
2264,2
2267,2
2276,2
2279,3
2280,2
2282,2
2283,2
2284,4
2287,6
2293,2
2298,2
2300,2
2302,2
2305,3
2308,4
2309,3
2311,3
2312,4
2314,4
2315,5
2320,2
2323,3
2327,4
2328,3
2329,2
2331,3
2334,2
2337,2
2340,2
2344,3
2349,2
2351,3
2352,2
2353,2
2355,2
2366,3
2369,2
2386,3
2391,3
2392,2
2395,2
2398,5
2399,3
2401,5
2402,3
2404,2
2408,2
2410,2
2411,8
2413,2
2414,2
2423,2
2425,2
2428,4
2429,2
2430,2
2432,2
2434,2
2441,2
2443,2
2450,2
2456,6
2458,3
2460,2
2461,2
2462,4
2464,2
2465,2
2467,2
2472,3
2473,3
2474,2
2485,2
2486,2
2491,3
2494,2
2497,3
2498,2
2500,3
2506,3
2518,2
2529,2
2530,2
2538,3
2540,2
2541,2
2543,2
2544,2
2548,2
2549,2
2553,4
2555,2
2557,2
2558,2
2560,2
2561,2
2563,2
2565,2
2577,2
2578,3
2579,2
2583,5
2591,2
2594,3
2598,2
2603,3
2605,2
2606,2
2609,2
2611,2
2612,2
2617,2
2628,2
2630,2
2637,2
2644,2
2646,2
2656,2
2670,2
2680,2
2686,2
